name,position,cost,xmins,ep_gw20,ep_gw21,ep_gw22
Ings,FWD,5.0,18,0.9,1.3,1.4
Stones,DEF,5.3,0,0.0,1.5,2.1
Thiago,FWD,5.9,28,0.9,1.2,1.5
N. Wood,DEF,4.0,73,1.8,0.9,0.9
Rúben,DEF,5.4,0,0.0,1.2,2.4
Buonanotte,MID,4.8,34,1.5,2.0,0.0
Mount,MID,6.3,0,0.0,1.5,2.0
G.Rodríguez,MID,4.8,24,0.9,1.3,1.3
Pope,GKP,4.9,0,0.0,1.4,1.9
Dominguez,MID,4.8,27,1.2,1.0,1.1
Travers,GKP,4.4,2,0.1,3.1,0.1
Areola,GKP,4.2,94,3.1,0.1,0.1
Diop,DEF,4.4,25,1.0,1.1,1.2
C.Doucouré,MID,4.9,36,1.3,1.1,0.8
O'Riley,MID,5.5,48,1.7,0.8,0.7
C.Richards,DEF,4.4,65,1.7,0.8,0.7
Greaves,DEF,3.9,46,0.9,1.4,0.9
Kamaldeen,MID,5.0,29,1.4,0.7,0.9
Reguilón,DEF,4.2,39,1.5,0.5,1.0
Casemiro,MID,4.8,26,1.0,1.1,0.9
Lamptey,DEF,4.4,28,1.0,1.2,0.8
Igor,DEF,4.4,36,0.8,1.1,1.0
Cairney,MID,4.8,30,1.5,0.9,0.6
Eriksen,MID,5.3,17,0.7,1.1,1.0
Lewis-Skelly,MID,4.5,37,1.3,0.9,0.6
Manning,DEF,4.3,28,1.2,0.6,1.0
Longstaff,MID,4.6,17,0.8,0.9,1.0
Jorginho,MID,4.7,29,1.2,0.6,0.8
Wharton,MID,4.7,0,0.0,1.2,1.4
Wieffer,MID,4.7,28,0.3,1.2,1.1
Coufal,DEF,4.2,18,0.5,1.1,1.0
Ben Johnson,DEF,3.9,28,0.7,1.0,0.8
Bradley,DEF,4.7,6,0.2,1.0,1.4
Sosa,MID,5.5,15,0.9,0.5,1.1
Barkley,MID,5.2,25,1.6,0.6,0.4
Yoro,DEF,4.3,35,0.6,1.0,0.9
Lavia,MID,4.5,22,0.5,0.9,1.1
Sarabia,MID,5.0,36,0.3,1.0,1.2
Hill,DEF,3.9,22,0.9,0.7,0.9
Berge,MID,5.0,0,0.0,1.0,1.5
Kelly,DEF,4.2,53,1.7,0.5,0.3
Alex Moreno,DEF,4.3,13,0.5,0.5,1.4
Smallbone,MID,5.0,29,1.0,0.7,0.7
Matheus N.,MID,4.9,0,0.0,0.9,1.5
Phillips,MID,4.8,37,1.2,1.1,0.0
Antony,MID,5.7,17,0.8,0.8,0.8
Hughes,MID,4.9,0,0.0,1.0,1.3
Philip,MID,4.8,18,1.0,0.6,0.6
Yarmoliuk,MID,4.4,22,1.0,0.7,0.5
B.Badiashile,DEF,4.3,0,0.0,0.6,1.6
Bergvall,MID,4.4,30,1.2,0.5,0.5
Skipp,MID,4.7,17,0.6,0.7,0.8
Almirón,MID,5.5,9,0.6,0.7,0.9
Sterling,MID,6.7,0,0.0,0.9,1.1
Scott,MID,4.7,0,0.0,0.9,1.2
Hermansen,GKP,4.5,0,0.0,0.7,1.3
Ward-Prowse,MID,6.2,13,0.7,0.7,0.7
Welbeck,FWD,5.5,0,0.0,1.1,0.9
Forbs,MID,5.5,29,1.1,0.4,0.4
Todibo,DEF,4.2,17,0.4,0.7,0.9
Sessegnon,DEF,4.2,10,0.5,0.6,0.9
J. Taylor,MID,4.8,8,0.4,0.6,1.0
Woolfenden,DEF,4.0,27,0.6,0.7,0.6
L.Guilherme,MID,4.7,9,0.5,0.6,0.8
Rashford,MID,6.6,0,0.0,0.8,1.0
McAteer,MID,4.7,0,0.0,0.7,1.1
Al-Hamadi,FWD,4.8,9,0.6,0.6,0.6
Tomiyasu,DEF,4.8,0,0.0,0.7,1.0
Richarlison,FWD,6.8,0,0.0,0.7,1.0
Disasi,DEF,4.2,13,0.4,0.5,0.8
Devenny,MID,4.5,18,0.9,0.4,0.4
Osula,FWD,4.9,4,0.4,0.6,0.6
Henry,DEF,4.3,0,0.0,0.6,1.0
Keane,DEF,4.0,13,0.4,0.7,0.6
Choudhury,MID,4.3,9,0.4,0.7,0.5
Coleman,DEF,4.3,10,0.0,0.7,0.8
March,MID,6.5,5,0.4,0.6,0.6
Chaplin,MID,5.1,0,0.0,0.6,1.0
Boly,DEF,4.2,18,0.7,0.3,0.6
Chadi Riad,DEF,4.3,30,0.9,0.3,0.2
Zinchenko,DEF,4.8,15,0.7,0.3,0.5
Stephens,DEF,4.0,0,0.0,0.7,0.8
Mee,DEF,4.2,0,0.0,0.6,0.8
Burgess,DEF,4.0,25,0.5,0.6,0.4
Lallana,MID,5.0,18,0.8,0.2,0.3
McAtee,MID,4.6,5,0.4,0.5,0.4
Carvalho,MID,4.6,0,0.0,0.4,1.0
Meghoma,DEF,4.0,25,0.9,0.3,0.2
Clyne,DEF,4.3,13,0.4,0.5,0.4
Faes,DEF,4.0,14,0.2,0.4,0.7
Endo,MID,4.6,8,0.4,0.4,0.5
Elliott,MID,5.2,3,0.3,0.5,0.5
Malacia,DEF,4.4,8,0.3,0.4,0.5
Vinicius,FWD,5.0,3,0.3,0.4,0.5
Chiesa,MID,6.8,1,0.2,0.5,0.6
Buendia,MID,5.1,11,0.8,0.1,0.2
Patterson,DEF,4.4,19,0.6,0.3,0.2
Kiwior,DEF,4.8,11,0.4,0.3,0.3
Danilo,MID,4.7,0,0.0,0.3,0.7
Reed,MID,4.7,0,0.0,0.4,0.6
Okoli,DEF,4.0,9,0.2,0.3,0.5
Nedeljkovic,DEF,3.9,9,0.4,0.4,0.2
R. Fraser,MID,4.8,5,0.4,0.2,0.4
Schlupp,MID,4.6,6,0.4,0.2,0.3
Brereton Díaz,MID,4.9,8,0.5,0.2,0.2
Hirst,FWD,5.4,0,0.0,0.3,0.6
Webster,DEF,4.3,4,0.2,0.3,0.4
Dorrington,DEF,4.0,19,0.6,0.1,0.2
J.Cuenca,DEF,4.4,3,0.1,0.3,0.5
Toti,DEF,4.3,0,0.0,0.2,0.6
Simpson-Pusey,DEF,4.0,13,0.5,0.3,0.1
Garner,MID,4.9,0,0.0,0.3,0.5
Maghoma,MID,4.5,10,0.4,0.2,0.2
Stewart,FWD,4.4,0,0.0,0.3,0.5
Hause,DEF,3.9,9,0.4,0.2,0.2
J. O'Brien,DEF,4.6,3,0.1,0.4,0.3
J. King,MID,4.5,5,0.3,0.3,0.2
Pinnock,DEF,4.5,0,0.0,0.2,0.5
J. Ward,DEF,4.3,4,0.2,0.3,0.3
J.Virginia,GKP,3.9,0,0.0,0.6,0.1
Mubama,FWD,4.5,1,0.1,0.3,0.3
