name,position,cost,xmins_gw4,xmins_gw5,xmins_gw6,xmins_gw7,xpts_gw4,xpts_gw5,xpts_gw6,xpts_gw7
E.Le Fée,MID,4.9,51,53,49,53,2.0,2.2,2.0,2.1
Walker,DEF,4.5,88,87,82,82,1.8,2.9,1.6,2.1
Barry,FWD,5.9,37,41,42,41,2.1,1.8,2.4,2.1
Guessand,MID,6.4,44,40,28,26,2.3,2.4,1.8,1.8
Füllkrug,FWD,5.8,32,49,42,53,1.7,2.5,2.0,2.1
Aït-Nouri,DEF,6.0,0,21,64,67,0.0,0.7,4.1,3.3
Bradley,DEF,5.0,55,44,25,29,3.1,2.5,1.2,1.2
R. James,DEF,5.5,52,38,43,42,2.6,1.7,2.2,1.6
Lewis,DEF,5.0,44,53,52,47,1.9,1.5,2.8,1.9
Gruda,MID,5.4,36,38,39,38,1.9,2.2,1.8,2.1
Tolu,FWD,5.5,51,58,27,22,2.3,3.0,1.4,1.3
Lerma,MID,5.0,75,57,37,28,3.2,2.2,1.4,1.1
Bellegarde,MID,5.4,44,41,41,43,1.9,2.1,1.8,2.0
Mainoo,MID,4.9,57,54,39,38,2.1,2.1,1.6,1.9
Sancho,MID,5.9,20,23,43,54,1.0,1.4,2.3,3.0
Tchatchoua,DEF,4.5,68,58,53,56,1.8,2.4,1.6,2.0
Bayindir,GKP,5.0,93,63,46,18,3.0,2.2,1.7,0.8
D. Gomez,MID,5.0,40,39,42,42,1.9,1.9,1.8,2.0
Brobbey,FWD,5.5,37,42,49,49,1.6,2.0,2.0,2.0
Ugochukwu,MID,5.0,67,60,52,54,2.1,2.1,1.6,1.7
Shaw,DEF,4.5,66,63,50,43,1.7,2.0,1.7,2.1
C. Wilson,FWD,5.9,47,35,37,31,2.5,1.9,1.8,1.4
Kolo Muani,FWD,7.0,15,27,42,47,1.0,1.5,2.6,2.4
Strand Larsen,FWD,6.4,0,15,67,75,0.0,0.9,2.9,3.6
Wissa,FWD,7.5,0,21,58,59,0.0,1.2,2.8,3.4
Tanaka,MID,4.9,32,50,58,53,1.2,1.9,2.2,2.0
Matheus N.,DEF,5.4,48,35,33,43,2.2,1.1,1.9,2.0
Geertruida,DEF,4.5,47,59,76,76,1.2,1.8,2.1,1.9
Bergvall,MID,5.4,41,40,38,41,1.8,1.6,1.8,1.8
Smith Rowe,MID,5.9,35,38,35,31,1.9,2.0,1.6,1.5
Udogie,DEF,4.4,32,41,46,57,1.2,1.4,2.2,2.1
Mayenda,FWD,5.5,43,40,35,31,1.9,2.0,1.6,1.5
Bijol,DEF,4.0,30,34,51,63,1.1,1.4,2.0,2.4
Zirkzee,FWD,5.9,41,35,26,27,1.9,1.8,1.5,1.8
Florentino,MID,5.0,32,43,61,58,1.2,1.6,2.1,2.0
