name,position,cost,xmins,ep_gw1,ep_gw2,ep_gw3,ep_gw4,ep_gw5
Scott,MID,5.0,75,2.8,3.1,1.5,1.3,1.4
J.Murphy,MID,6.5,45,2.2,2.0,2.5,1.8,1.8
Brooks,MID,5.0,65,2.4,2.8,1.6,1.7,1.7
Dominic Calvert-Lewin,FWD,0.0,23,1.5,1.5,2.3,2.2,2.6
McAtee,MID,5.5,11,0.7,1.9,2.8,2.0,2.7
Møller Wolfe,DEF,4.5,69,1.9,1.8,2.5,1.5,2.4
Ayari,MID,5.0,44,2.1,2.1,1.9,2.0,2.0
Madueke,MID,7.0,34,2.1,2.3,1.5,2.1,2.1
Broja,FWD,5.5,29,1.5,2.1,1.9,2.1,2.3
Fofana,DEF,4.5,24,1.0,1.6,2.2,2.6,2.4
Fer López,MID,5.5,49,2.2,2.0,1.9,1.5,2.1
Spence,DEF,4.5,68,3.2,1.3,1.9,1.8,1.6
Muniz,FWD,5.5,19,1.1,1.8,1.8,2.5,2.4
Hughes,MID,5.0,56,2.0,2.3,1.7,1.9,1.6
Smith,DEF,4.5,61,1.3,2.4,1.8,2.0,1.9
Thiaw,DEF,5.0,29,1.0,1.3,2.4,2.6,2.2
Hoever,DEF,4.0,59,2.0,1.8,2.0,1.4,2.1
Bijol,DEF,4.0,0,0.0,1.9,2.5,2.4,2.6
Longstaff,MID,5.0,53,2.1,1.6,1.9,1.8,1.9
Branthwaite,DEF,5.5,22,0.4,1.3,2.4,3.0,2.1
Souček,MID,6.0,37,1.9,1.7,1.8,1.9,2.0
J. King,MID,4.5,44,2.0,2.1,1.6,1.8,1.7
Rodrigo,MID,6.5,8,0.2,1.3,1.7,2.9,3.0
Igor Jesus,FWD,6.0,34,1.9,1.7,2.0,1.7,1.7
Bergvall,MID,5.5,44,2.1,1.6,1.8,1.8,1.7
Matheus N.,DEF,5.5,44,2.1,1.9,1.6,2.0,1.3
C.Jones,MID,5.5,55,2.7,1.3,1.6,1.6,1.7
Gruda,MID,5.5,35,2.1,1.8,1.7,1.5,1.9
Potts,MID,4.5,66,2.5,1.8,1.7,1.4,1.4
Ugarte,MID,5.0,46,1.7,1.8,1.9,1.6,1.8
Yates,MID,5.0,44,1.9,1.7,1.7,1.5,1.9
Burn,DEF,5.0,68,2.3,1.6,1.5,1.9,1.3
Lerma,MID,5.0,40,1.5,1.8,1.7,2.0,1.6
Cook,MID,5.0,0,0.0,0.0,2.9,2.8,2.9
Mainoo,MID,5.0,41,1.6,1.9,1.9,1.5,1.7
Bellegarde,MID,5.5,30,1.4,1.7,1.9,1.5,2.1
O'Riley,MID,5.5,29,1.9,1.8,1.6,1.4,1.9
Amadou Onana,MID,5.0,42,1.7,1.6,1.7,1.6,1.8
Savinho,MID,7.0,27,1.7,1.8,1.7,1.7,1.4
J.Ramsey,MID,5.5,19,1.0,1.7,2.1,1.9,1.6
Robinson,DEF,5.0,0,0.0,0.0,0.7,3.8,3.5
Odobert,MID,5.5,33,2.0,1.5,1.7,1.6,1.3
Shaw,DEF,4.5,46,1.4,1.7,2.1,1.2,1.4
N.Gonzalez,MID,6.0,56,2.4,2.2,1.6,1.1,0.6
Maguire,DEF,4.5,49,1.6,1.6,2.1,1.3,1.2
